,hero_name,stat_name,stat_category
591,Lúcio,Speed Song Time Elapsed,hero_specific
592,Lúcio,Time Alive,general
593,Lúcio,Time Building Ultimate,general
594,Lúcio,Time Discorded,some_shared
595,Lúcio,Time Elapsed per Ultimate Earned,general
596,Lúcio,Time Hacked,some_shared
597,Lúcio,Time Holding Ultimate,general
598,Lúcio,Time Played,general
599,Lúcio,Ultimates Earned - Fractional,general
600,Lúcio,Ultimates Used,general
601,Lúcio,Weapon Accuracy,some_shared
627,Doomfist,Ability Damage Done,hero_specific
628,Doomfist,All Damage Done,general
629,Doomfist,Assists,general
630,Doomfist,Average Time Alive,general
631,Doomfist,Barrier Damage Done,general
632,Doomfist,Critical Hit Accuracy,some_shared
633,Doomfist,Critical Hits,some_shared
634,Doomfist,Damage - Meteor Strike,hero_specific
635,Doomfist,Damage - Quick Melee,some_shared
636,Doomfist,Damage - Rising Uppercut,hero_specific
637,Doomfist,Damage - Rocket Punch,hero_specific
638,Doomfist,Damage - Seismic Slam,hero_specific
639,Doomfist,Damage - Weapon,some_shared
640,Doomfist,Damage Taken,general
641,Doomfist,Deaths,general
642,Doomfist,Eliminations,general
643,Doomfist,Healing Received,general
644,Doomfist,Hero Damage Done,general
645,Doomfist,Knockback Kills,some_shared
646,Doomfist,Objective Time,general
647,Doomfist,Quick Melee Accuracy,some_shared
648,Doomfist,Quick Melee Hits,some_shared
649,Doomfist,Quick Melee Ticks,some_shared
650,Doomfist,Shields Created,hero_specific
651,Doomfist,Shots Fired,some_shared
652,Doomfist,Shots Hit,some_shared
653,Doomfist,Shots Missed,some_shared
654,Doomfist,Time Alive,general
655,Doomfist,Time Building Ultimate,general
656,Doomfist,Time Elapsed per Ultimate Earned,general
657,Doomfist,Time Hacked,some_shared
658,Doomfist,Time Holding Ultimate,general
659,Doomfist,Time Played,general
660,Doomfist,Ultimates Earned - Fractional,general
661,Doomfist,Ultimates Used,general
662,Doomfist,Weapon Accuracy,some_shared
673,Tracer,All Damage Done,general
674,Tracer,Assists,general
675,Tracer,Average Time Alive,general
676,Tracer,Barrier Damage Done,general
677,Tracer,Critical Hit Accuracy,some_shared
678,Tracer,Critical Hits,some_shared
679,Tracer,Damage - Pulse Bomb,hero_specific
680,Tracer,Damage - Quick Melee,some_shared
681,Tracer,Damage - Weapon,some_shared
682,Tracer,Damage Taken,general
683,Tracer,Deaths,general
684,Tracer,Eliminations,general
685,Tracer,Final Blows,general
686,Tracer,Healing Received,general
687,Tracer,Health Recovered,hero_specific
688,Tracer,Hero Damage Done,general
689,Tracer,Match Blinks Used,hero_specific
690,Tracer,Melee Final Blows,some_shared
691,Tracer,Objective Kills,general
692,Tracer,Objective Time,general
693,Tracer,Pulse Bomb Attach Rate,hero_specific
694,Tracer,Pulse Bomb Efficiency,hero_specific
695,Tracer,Pulse Bomb Kills,hero_specific
696,Tracer,Pulse Bombs Attached,hero_specific
697,Tracer,Quick Melee Accuracy,some_shared
698,Tracer,Quick Melee Hits,some_shared
699,Tracer,Quick Melee Ticks,some_shared
700,Tracer,Recalls Used,hero_specific
701,Tracer,Self Healing,some_shared
702,Tracer,Self Healing Percent of Damage Taken,some_shared
703,Tracer,Shots Fired,some_shared
704,Tracer,Shots Hit,some_shared
705,Tracer,Shots Missed,some_shared
706,Tracer,Time Alive,general
707,Tracer,Time Building Ultimate,general
708,Tracer,Time Discorded,some_shared
709,Tracer,Time Elapsed per Ultimate Earned,general
710,Tracer,Time Hacked,some_shared
711,Tracer,Time Holding Ultimate,general
712,Tracer,Time Played,general
713,Tracer,Ultimates Earned - Fractional,general
714,Tracer,Ultimates Used,general
715,Tracer,Weapon Accuracy,some_shared
753,Ana,Enemies Slept,hero_specific
775,Ana,Sleep Dart Hits,hero_specific
777,Ana,Sleep Dart Success Rate,hero_specific
781,Ana,Time Hacked,some_shared
799,Baptiste,Damage - Quick Melee,some_shared
801,Baptiste,Damage Amplified,some_shared
806,Baptiste,Final Blows,general
808,Baptiste,Healing - Immortality Field,hero_specific
811,Baptiste,Healing Amplified,some_shared
815,Baptiste,Objective Kills,general
816,Baptiste,Objective Time,general
817,Baptiste,Quick Melee Accuracy,some_shared
818,Baptiste,Quick Melee Hits,some_shared
833,Zenyatta,All Damage Done,general
834,Zenyatta,Assists,general
835,Zenyatta,Average Time Alive,general
836,Zenyatta,Barrier Damage Done,general
837,Zenyatta,Critical Hit Accuracy,some_shared
838,Zenyatta,Critical Hits,some_shared
839,Zenyatta,Damage - Discord Orb,hero_specific
840,Zenyatta,Damage - Weapon Charged,hero_specific
841,Zenyatta,Damage - Weapon Primary,some_shared
842,Zenyatta,Damage Taken,general
843,Zenyatta,Deaths,general
844,Zenyatta,Defensive Assists,some_shared
845,Zenyatta,Discord Orb Time,hero_specific
846,Zenyatta,Eliminations,general
847,Zenyatta,Final Blows,general
848,Zenyatta,Harmony Orb Time,hero_specific
849,Zenyatta,Healing - Harmony Orb,hero_specific
850,Zenyatta,Healing - Transcendence,hero_specific
851,Zenyatta,Healing Done,some_shared
852,Zenyatta,Healing Received,general
853,Zenyatta,Hero Damage Done,general
854,Zenyatta,Objective Kills,general
855,Zenyatta,Objective Time,general
856,Zenyatta,Offensive Assists,some_shared
857,Zenyatta,Quick Melee Ticks,some_shared
858,Zenyatta,Self Healing,some_shared
